team,Season
air-force-falcons,2006-2007
akron-zips,2006-2007
akron-zips,2007-2008
akron-zips,2011-2012
akron-zips,2015-2016
akron-zips,2016-2017
alabama-crimson-tide,2006-2007
alabama-crimson-tide,2010-2011
alabama-crimson-tide,2011-2012
alabama-crimson-tide,2012-2013
alabama-crimson-tide,2015-2016
alabama-crimson-tide,2016-2017
alabama-crimson-tide,2017-2018
alabama-crimson-tide,2018-2019
uab-blazers,2007-2008
uab-blazers,2008-2009
uab-blazers,2009-2010
uab-blazers,2010-2011
appalachian-st.-mountaineers,2006-2007
arizona-wildcats,2007-2008
arizona-wildcats,2008-2009
arizona-wildcats,2011-2012
arizona-wildcats,2015-2016
arizona-state-sun-devils,2007-2008
arizona-state-sun-devils,2008-2009
arizona-state-sun-devils,2009-2010
arizona-state-sun-devils,2013-2014
arizona-state-sun-devils,2017-2018
arizona-state-sun-devils,2018-2019
arkansas-razorbacks,2006-2007
arkansas-razorbacks,2007-2008
arkansas-razorbacks,2013-2014
arkansas-razorbacks,2016-2017
arkansas-razorbacks,2017-2018
auburn-tigers,2008-2009
baylor-bears,2007-2008
baylor-bears,2008-2009
baylor-bears,2012-2013
baylor-bears,2013-2014
baylor-bears,2015-2016
baylor-bears,2017-2018
baylor-bears,2018-2019
belmont-bruins,2013-2014
belmont-bruins,2016-2017
belmont-bruins,2018-2019
boise-st.-broncos,2012-2013
boise-st.-broncos,2014-2015
boise-st.-broncos,2016-2017
boise-st.-broncos,2017-2018
boston-college-eagles,2006-2007
boston-college-eagles,2008-2009
boston-college-eagles,2010-2011
bowling-green-falcons,2018-2019
bradley-braves,2006-2007
brigham-young-cougars,2007-2008
brigham-young-cougars,2008-2009
brigham-young-cougars,2009-2010
brigham-young-cougars,2011-2012
brigham-young-cougars,2012-2013
brigham-young-cougars,2013-2014
brigham-young-cougars,2014-2015
brigham-young-cougars,2015-2016
brigham-young-cougars,2016-2017
brigham-young-cougars,2017-2018
brigham-young-cougars,2018-2019
bucknell-bison,2006-2007
buffalo-bulls,2011-2012
butler-bulldogs,2006-2007
butler-bulldogs,2012-2013
butler-bulldogs,2014-2015
butler-bulldogs,2015-2016
butler-bulldogs,2017-2018
csu-bakersfield-roadrunners,2016-2017
california-golden-bears,2008-2009
california-golden-bears,2010-2011
california-golden-bears,2011-2012
california-golden-bears,2012-2013
california-golden-bears,2013-2014
california-golden-bears,2016-2017
uc-davis-aggies,2014-2015
uc-irvine-anteaters,2015-2016
central-florida-knights,2010-2011
central-florida-knights,2011-2012
central-florida-knights,2016-2017
central-florida-knights,2018-2019
central-michigan-chippewas,2014-2015
charlotte-49ers,2007-2008
charlotte-49ers,2009-2010
charlotte-49ers,2012-2013
cincinnati-bearcats,2009-2010
cincinnati-bearcats,2010-2011
cincinnati-bearcats,2011-2012
cincinnati-bearcats,2012-2013
cincinnati-bearcats,2014-2015
cincinnati-bearcats,2015-2016
clemson-tigers,2006-2007
clemson-tigers,2008-2009
clemson-tigers,2009-2010
clemson-tigers,2010-2011
clemson-tigers,2013-2014
clemson-tigers,2016-2017
clemson-tigers,2018-2019
cleveland-st.-vikings,2007-2008
cleveland-st.-vikings,2010-2011
charleston-cougars,2010-2011
charleston-cougars,2016-2017
colorado-buffaloes,2010-2011
colorado-buffaloes,2012-2013
colorado-buffaloes,2013-2014
colorado-buffaloes,2015-2016
colorado-buffaloes,2018-2019
colorado-st.-rams,2010-2011
colorado-st.-rams,2011-2012
