sr_id,opponent_id,rpi_id,betting_id,covers_id
abilene-christian,AbileneChristian,AblChristian,AbileneChristian,abilene-christian-wildcats
air-force,AirForce,AirForce,AirForce,air-force-falcons
akron,Akron,Akron,Akron,akron-zips
alabama-am,AlabamaAM,AlabAM,AlabamaAM,alabama-a-m-bulldogs
alabama,Alabama,Alabama,Alabama,alabama-crimson-tide
alabama-state,AlabamaState,AlabamaSt,AlabamaSt,alabama-st.-hornets
albany-ny,AlbanyNY,Albany,Albany,albany-great-danes
alcorn-state,AlcornState,AlcornState,AlcornSt,alcorn-st.-braves
american,American,American,AmericanU,american-eagles
appalachian-state,AppalachianState,AppState,AppalachianSt,appalachian-st.-mountaineers
arizona-state,ArizonaState,ArizonaSt,ArizonaState,arizona-state-sun-devils
arizona,Arizona,Arizona,Arizona,arizona-wildcats
arkansas,Arkansas,Arkansas,Arkansas,arkansas-razorbacks
arkansas-state,ArkansasState,ArkansasSt,ArkansasSt,arkansas-st.-red-wolves
arkansas-pine-bluff,ArkansasPineBluff,ArkPineBl,ArkansasPineBluff,arkansas-pine-bluff-golden-lions
army,Army,Army,Army,army-black-knights
auburn,Auburn,Auburn,Auburn,auburn-tigers
austin-peay,AustinPeay,AustinPeay,AustinPeay,austin-peay-governors
ball-state,BallState,BallState,BallSt,ball-st.-cardinals
baylor,Baylor,Baylor,Baylor,baylor-bears
bellarmine,Bellarmine,Bellarmine,,bellarmine-knights
belmont,Belmont,Belmont,Belmont,belmont-bruins
bethune-cookman,BethuneCookman,BethCook,BethuneCookman,bethune-cookman-wildcats
binghamton,Binghamton,Binghamton,Binghamton,binghamton-bearcats
boise-state,BoiseState,BoiseState,BoiseSt,boise-st.-broncos
boston-college,BostonCollege,BostonCol,BostonCollege,boston-college-eagles
boston-university,BostonUniversity,BostonU,BostonU,boston-u-terriers
bowling-green-state,BowlingGreenState,BowlingGrn,BowlingGreen,bowling-green-falcons
bradley,Bradley,Bradley,Bradley,bradley-braves
brigham-young,BrighamYoung,BYU,BrighamYoung,brigham-young-cougars
brown,Brown,Brown,Brown,brown-bears
bryant,Bryant,Bryant,Bryant,bryant-bulldogs
