Rk,School,City State,Start,End,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,abilene-christian,Abilene Texas,2014,2022,12,359,197,162,0.549,-8.45,-6.48,0,0,2,2,0,0
2,air-force,USAF Academy Colorado,1958,2022,65,1780,771,1009,0.433,-2.84,1.32,0,1,0,4,0,0
3,akron,Akron Ohio,1902,2022,71,1650,981,669,0.595,-0.16,-1.54,0,9,5,5,0,0
4,alabama-am,Normal Alabama,2000,2022,23,655,250,405,0.382,-16.96,-11.37,0,1,1,1,0,0
5,alabama,Tuscaloosa Alabama,1913,2022,109,2822,1738,1083,0.616,7.56,4.77,16,11,8,23,0,0
6,alabama-state,Montgomery Alabama,1983,2022,40,1177,553,624,0.47,-13.22,-10.08,0,4,4,4,0,0
7,albany-ny,Albany New York,2000,2022,23,705,346,359,0.491,-6.78,-6.02,0,2,5,5,0,0
8,alcorn-state,Alcorn State Mississippi,1978,2022,45,1328,575,753,0.433,-13.59,-8.8,0,11,6,6,0,0
9,american,Washington D.C.,1967,2022,56,1575,769,806,0.488,-5.73,-3.83,0,7,3,3,0,0
10,appalachian-state,Boone North Carolina,1974,2022,49,1448,711,737,0.491,-5.81,-3.31,0,10,3,3,0,0
11,arizona-state,Tempe Arizona,1912,2022,107,2632,1394,1238,0.53,5.02,4.08,7,8,0,16,0,0
12,arizona,Tucson Arizona,1905,2022,115,2817,1858,958,0.66,9.19,5.1,28,25,8,36,4,1
13,arkansas,Fayetteville Arkansas,1924,2022,99,2744,1761,983,0.642,7.81,3.24,18,26,7,34,6,1
14,arkansas-state,State University Arkansas,1971,2022,52,1505,772,733,0.513,-3.66,-3.01,0,7,1,1,0,0
15,arkansas-pine-bluff,Pine Bluff Arkansas,1999,2022,24,723,210,513,0.29,-19.66,-8.34,0,0,1,1,0,0
16,army,West Point New York,1903,2022,120,2569,1277,1292,0.497,-9.12,-4.64,0,0,0,0,0,0
17,auburn,Auburn Alabama,1906,2022,116,2660,1430,1229,0.538,5.81,4.31,9,5,2,11,1,0
