season_number,season,conf,win,loss,wpct,conf_win,conf_loss,conf_wpct,srs,sos,ppg,opp_ppg,ap_pre,ap_highest,ap_final,tournament_outcome,seed,coach,school
1,2022,WAC,25,11,0.694,11,7,0.611,2.26,-2.09,76.7,67.6,NA,NA,NA,NA,NA,Brette Tanner (25-11),abilene-christian
2,2021,Southland,24,5,0.828,13,2,0.867,6.27,-6.37,75.7,60.4,NA,NA,NA,Lost Second Round,14,Joe Golding (24-5),abilene-christian
3,2020,Southland,20,11,0.645,15,5,0.75,-2.87,-6.87,75.9,65.3,NA,NA,NA,NA,NA,Joe Golding (20-11),abilene-christian
4,2019,Southland,27,7,0.794,14,4,0.778,-1.91,-7.34,73.6,63.6,NA,NA,NA,Lost First Round,15,Joe Golding (27-7),abilene-christian
5,2018,Southland,16,16,0.5,8,10,0.444,-9.14,-6.82,73.7,71.2,NA,NA,NA,NA,NA,Joe Golding (16-16),abilene-christian
6,2017,Southland,13,16,0.448,7,11,0.389,-11.86,-7.1,69.3,71.5,NA,NA,NA,NA,NA,Joe Golding (13-16),abilene-christian
7,2016,Southland,13,18,0.419,8,10,0.444,-13.93,-7.53,71.3,73.3,NA,NA,NA,NA,NA,Joe Golding (13-18),abilene-christian
8,2015,Southland,10,21,0.323,4,14,0.222,-17.2,-6.34,63.7,70.5,NA,NA,NA,NA,NA,Joe Golding (10-21),abilene-christian
9,2014,Southland,11,20,0.355,2,12,0.143,-19.6,-4.12,71.4,71.9,NA,NA,NA,NA,NA,Joe Golding (11-20),abilene-christian
1,2022,MWC,11,18,0.379,4,13,0.235,-5.66,1.34,59,66,NA,NA,NA,NA,NA,Joe Scott (11-18),air-force
2,2021,MWC,5,20,0.2,3,17,0.15,-12.98,0.22,58.7,71.9,NA,NA,NA,NA,NA,Joe Scott (5-20),air-force
3,2020,MWC,12,20,0.375,5,13,0.278,-0.37,3.02,73.1,74.6,NA,NA,NA,NA,NA,Dave Pilipovich (12-20),air-force
4,2019,MWC,14,18,0.438,8,10,0.444,-4.28,0.24,68.1,71.7,NA,NA,NA,NA,NA,Dave Pilipovich (14-18),air-force
5,2018,MWC,12,19,0.387,6,12,0.333,-4.31,1.72,68.5,72.4,NA,NA,NA,NA,NA,Dave Pilipovich (12-19),air-force
6,2017,MWC,12,21,0.364,4,14,0.222,-3.06,1,73.1,75.1,NA,NA,NA,NA,NA,Dave Pilipovich (12-21),air-force
7,2016,MWC,14,18,0.438,5,13,0.278,-5.51,0.66,68.4,72.8,NA,NA,NA,NA,NA,Dave Pilipovich (14-18),air-force
8,2015,MWC,14,17,0.452,6,12,0.333,-1.85,-0.71,65.7,65.1,NA,NA,NA,NA,NA,Dave Pilipovich (14-17),air-force
9,2014,MWC,12,18,0.4,6,12,0.333,-4.08,1.71,66,69.1,NA,NA,NA,NA,NA,Dave Pilipovich (12-18),air-force
10,2013,MWC,18,14,0.563,8,8,0.5,4.06,4.16,70,67.8,NA,NA,NA,NA,NA,Dave Pilipovich (18-14),air-force
11,2012,MWC,13,16,0.448,3,11,0.214,-0.45,2.14,61.6,62,NA,NA,NA,NA,NA,"Jeff Reynolds (11-10), Dave Pilipovich (2-6)",air-force
12,2011,MWC,16,16,0.5,6,10,0.375,2.71,3.31,64.8,65.1,NA,NA,NA,NA,NA,Jeff Reynolds (16-16),air-force
13,2010,MWC,10,21,0.323,1,15,0.063,-4.9,3.13,57.2,63.1,NA,NA,NA,NA,NA,Jeff Reynolds (10-21),air-force
14,2009,MWC,10,21,0.323,0,16,0,-2.99,2.37,58.7,62.5,NA,NA,NA,NA,NA,Jeff Reynolds (10-21),air-force
15,2008,MWC,16,14,0.533,8,8,0.5,0.44,0.19,58.7,57.2,NA,NA,NA,NA,NA,Jeff Reynolds (16-14),air-force
16,2007,MWC,26,9,0.743,10,6,0.625,15.19,3.34,69,56,NA,13,NA,NA,NA,Jeff Bzdelik (26-9),air-force
17,2006,MWC,24,7,0.774,12,4,0.75,10.2,2.49,64.2,54.7,NA,NA,NA,Lost First Round,13,Jeff Bzdelik (24-7),air-force
18,2005,MWC,18,12,0.6,9,5,0.643,8.61,2.61,61.2,54.3,NA,NA,NA,NA,NA,Chris Mooney (18-12),air-force
19,2004,MWC,22,7,0.759,12,2,0.857,9.12,0.08,59.9,50.9,NA,25,NA,Lost First Round,11,Joe Scott (22-7),air-force
20,2003,MWC,12,16,0.429,3,11,0.214,1.71,1.46,57.3,57,NA,NA,NA,NA,NA,Joe Scott (12-16),air-force
21,2002,MWC,9,19,0.321,3,11,0.214,-0.95,3.23,57.3,61.5,NA,NA,NA,NA,NA,Joe Scott (9-19),air-force
22,2001,MWC,8,21,0.276,3,11,0.214,-3.56,1.99,57.5,63,NA,NA,NA,NA,NA,Joe Scott (8-21),air-force
23,2000,MWC,8,20,0.286,4,10,0.286,-5.07,2.58,67.5,73.1,NA,NA,NA,NA,NA,Reggie Minton (8-20),air-force
